seed	531802985935182545
construction_seconds	186.433266
path	nodes	max_cut	max_fill	max_step	pins	pin_digest	water_bounds	water_digest
route_031	1041	10	69	1	2	d2cdcf4ad4e71f8bbbd6a84fb0f6970cb43c91e6470d296bcc1edd4a6d2ccbc3	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_032	1301	18	14	1	3	222c131643b9d57d434a1f6afe0102e83ad06330b6cf5cdac7c3ba80ee95e97d	62	fb31b39a5e33c01df593af58f0f75a32b59125026df8b1a427268304c50c2df1
route_033	1301	48	34	1	2	362adf48741f5970476d03b3fc056ef1a30055375d6cbaf10cca2b9d98c14857	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_034	1041	5	52	1	2	6af8466442f798bd39466c63fd4d7e92b9523ce6c9063d63362b8d20ff9016ca	125	4cf5ab02699715c43c99a8b2c51d3fcfda71f9bbebb77234ee08239ff5203379
route_035	1801	52	1	1	2	06d216733b5b8eddabe7d670f07f8d2cf6a98f51a7558ceea11b9c8a634360cc	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_036	1801	51	21	1	2	f81103bfeb8be3d84f0ef06d1b09f172379973ac00f5106d4252786b09da631f	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_037	1041	23	2	1	2	42b65b0d8d281f4a4a33d0fa0edb628ba6439c1968071547aebbe101d5e31481	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_038	1301	3	22	1	2	4be3fddd337413c0c966b8ccde26214ad6ea7a43ad65600d2f57b29c95a960a0	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_039	1301	3	56	1	2	ad6c0bbdd9fdddae50e9a56b6bb952178da5204e7de1844ee63394b37047819a	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_040	1041	2	45	1	2	28947cda06c56364a636741ee685dce6b80804b609276cbe4ffde849e7b011c1	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_041	1801	6	5	1	2	12a01319f83d12ee6b0d7bef8b862550f25a68fada46594c8e30f8b45ac3d794	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_042	1801	14	48	1	2	ed59cf9fef0af93196e1d7e5ebeecd3418ab3f6f3611e06b507fd4150fe2e052	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_043	710	50	19	1	4	8fa5edeeb9c90ea72c95ea35107d4dc53bc1be9af89f9cef9c53b080e2e0d5a4	82	3d6f74610f3d91cc625f8fc97a948bd16b7913a58cb0748fab962351daae9212
route_044	1148	39	32	1	2	2b98691c3ebd99259411709754cba129350fe1a6d5cfc93671b7268ea0818ad0	142	d08fbbed2caec41a81ff05fcdcb66752d9a618676f0c98bd67f53e1e9520b7d4
route_045	983	30	3	1	2	8e1b1bcb55ff913175ec8fd0c5615a28555b106d9c60f62bb51a86b6551d34fd	444	f5c109abd186f26a288d7ae72db4e9c4a7e80842440cf0d0cf2dfd98e916f9d4
route_046	983	3	1	1	2	7855b59882512cbdb90710f9aadc6ddde464915e479956e8458773ee9a4303ac	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_047	1148	89	25	1	2	9a22b8ef7227fb8af3aaef8df28138561679d59ff48538905210d7eb95af7651	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_048	710	23	1	1	4	27dd50d12901dedda347e0d7e6b5e9ae8d0174555ab4e87ae07df782705ac181	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_049	710	59	4	1	2	ea6f7f769218f3093314791d1e27bf13837ed7d1abe860425b777c8a120578bc	84	8d40b071aaba1c3bc23a79741dc24c96f1425c9b0eeef62f0a47147e6c1f157d
route_050	1148	138	3	1	3	1dbf46f22af2bbb84b1206c57428f851fa74bf3c631ecec433095002c108d7ae	444	cdec5430ff3566b19be2bdff533b1cd6daf7211f120fb929443cde1df6e35727
route_051	1031	35	1	1	2	426a1b19445cb6b94a2b47a4e80746dabe90fa5f326065a7989adca60a00109f	23	db9d2c71c2f1bfa60e43f41d59b3d2238a98896d2895bfc37dc2f09e8e2cc0eb
route_052	1031	11	1	1	2	e9ce0fce3ec104d3f153f52d5b4d709b02e3f8ad24bf6bacf9e49a3180da684f	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_053	1148	9	1	1	2	949898d3f104754a7b97d315954204e3c084826f36df4361d1035a1aa8db11bb	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_054	896	17	1	1	2	3b9676cda03b4dc6bfa89c672f19fff797f434db5154efb652d00c9be7419bc7	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_055	1317	91	55	1	2	e89bbdd9403c4de0e7d008d230135277dc9d4c7fbfdf4c6eb9f4774d05516c97	459	8ca99d7aaf64f4384a21d922bdae1e881e5d7fef71f4f7b808b4fd79e677ec57
route_056	1501	2	13	1	2	5e2f91b9528eda2bf4805d66c6b2e38b38089a5edb28a1b08b548d3d6264b669	22	753b4945164e22728a025634a38547def472190d26b41f521fed6a2f66a632f5
route_057	1251	20	15	1	2	3b253dfc5c51e3b8a80e5fc3c9f2c08d5a30faec618b48a91ecb6e93817f8acf	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_013	84	17	1	1	2	91ac4137ed47c2a774702b8396540c894fa1ed63477d2649105f0d67e901bdd3	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_014	77	1	1	1	2	cc666adccb48305dfe4db865bb3618d7c1508d8c533f37d30c9082c730b46807	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_015	121	4	2	1	2	bd95610251e1aade25cf6630cceb16710c6d8be337d900731c60b53d7b33cf0a	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_016	57	1	0	1	2	4dc81c3194a0ed9d1b85da0bcd7d8eb8fb7655a280feb708aca394a13c90b353	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_017	101	1	1	1	2	5cc5f5d3dd246718663b98392e2df77bd4a2fa7520425cbe5aa7dad8335ca1aa	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_018	57	1	0	1	2	cfde340cc2bfbbc44aa6e7f66403776184b13acb915f8105ae8a0bbc547b2a79	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_019	101	0	0	0	2	37b9b1bd0c9c2478b148739eb97b6d346b1cd36985e7c963ffc178d0a8846302	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_020	101	2	9	1	2	6331f09617f96121471fdf682e878f2acc2df0c785941e203bc79820d4be33bf	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_021	89	1	0	1	2	1335814cddfb34bfa07ec141da1cd0778125d36a33ca83b0cee7109571e4b1dc	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_022	65	7	0	1	2	31298358969de39c8fc712edd21861ee6601cfba16ce7577446ddc677b8915b6	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_023	77	2	1	1	2	ea4a312842e0ab2d0720e72d9b9d5649cca98e3dbddceede2e210d92f4df0b31	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_024	105	1	0	1	2	d1f764e5b6f91af364879d1c3bc8e04f6bc3ea05029db49e22756d68111caf92	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_025	301	42	64	1	2	7ba059a0dd600e0a9bce6d7eb0aad8155c09524ea7218454313fa05ec11babb6	115	a94f841f9474126adc369dde2e47807e85cdf7cce3cf9b518a28a4762fe5b8c2
poi_spur_026	251	2	1	1	2	c2a561249196e2e0578d25e5c71e835e607d24b28d0970a61582b2f0a37a385b	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_027	275	4	60	1	2	0c0e2623c92a03a3ffa5c412b8e56a40207685d096eed735877f761737cabdf6	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_028	301	2	37	1	2	3a6b82256812d646dcf04a4697da1aafcf0d15dbdb740fac5e446317c0f84983	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_029	177	4	10	1	2	65dbaf15052ab359e2c48638db212a0ba6e406b6f60de31fb0b48351c7092d95	71	12c841910dba4d5faa8809f5663f033d551b455ee30425643a1f46e3650fe9b6
poi_spur_030	283	3	1	1	2	0ac14222f81676205c3f6c9342cffbf5c14eece8f73c2f64a25a19feec816f24	32	ece4094f0f87837886d4a09c92e0336d848f86f3802ae7406db903358af4e1c2
poi_spur_031	351	2	0	1	2	f32186cc295ae9313cca7e7e60449bb9119f8c74cf53fe2de559ea3c04f8d211	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_032	301	2	0	1	2	f00b23322c103620286d8ba62a1a3ee4d4f318b48740e3e4dcdd6ac21d28d7cb	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_033	301	2	1	1	2	78eeb52d28f2506ada24ba4a05b8f82499af63f5da1fee65ab16998b52f1599d	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_034	275	2	0	1	2	b0152937e36fe985676a648cb773fe4c5b34130f346baa7bd4e7115ea74d9d7e	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_035	175	1	3	1	2	480f672cd2a76a51e230487f4243678f9dd4d352da3f1ac5c4aa6673612b2801	145	a059b9af84776fbd80a1135da569a58d10566cdb3929b0471c18e2d45bf1c006
