pass                               region    cells    ignored held     retries  trouble
kezamba-full-15912857179583385436  avenue    137975   0      112      0        0
kezamba-full-15912857179583385436  approach  31572    0      75       0        0
kezamba-full-531802985935182545    core      36465    0      147      0        0
kezamba-full-531802985935182545    plot      6875     0      18       0        0
kezamba-full-531802985935182545    avenue    111126   0      84       0        0
kezamba-full-531802985935182545    approach  39870    0      75       0        0
kezamba-full-531802985935182545-verify core      36465    0      147      0        0
kezamba-full-531802985935182545-verify plot      6875     0      18       0        0
kezamba-full-531802985935182545-verify avenue    111126   0      84       0        0
kezamba-full-531802985935182545-verify approach  39870    0      75       0        0
lethariel-full-15912857179583385436 core      42605    0      147      0        0
lethariel-full-15912857179583385436 plot      7764     0      27       0        0
lethariel-full-15912857179583385436 avenue    93500    0      84       0        0
lethariel-full-15912857179583385436 district  209963   0      256      0        0
lethariel-full-15912857179583385436 approach  27346    0      45       0        0
lethariel-full-531802985935182545  core      39608    0      196      0        0
lethariel-full-531802985935182545  plot      7141     0      8        0        0
lethariel-full-531802985935182545  avenue    125178   0      126      0        0
lethariel-full-531802985935182545  district  180154   0      256      0        0
lethariel-full-531802985935182545  approach  24977    0      45       0        0
lethariel-full-531802985935182545-verify core      39608    0      196      0        0
lethariel-full-531802985935182545-verify plot      7141     0      8        0        0
lethariel-full-531802985935182545-verify avenue    125178   0      126      0        0
lethariel-full-531802985935182545-verify district  180154   0      256      0        0
lethariel-full-531802985935182545-verify approach  24977    0      45       0        0
nhal_veyr-full-15912857179583385436 core      43147    0      196      0        0
nhal_veyr-full-15912857179583385436 plot      7299     0      18       0        0
nhal_veyr-full-15912857179583385436 avenue    95254    0      112      0        0
nhal_veyr-full-15912857179583385436 district  201864   0      192      0        0
nhal_veyr-full-15912857179583385436 approach  43186    0      75       0        0
nhal_veyr-full-15912857179583385436 rampart   28686    0      44       0        0
nhal_veyr-full-15912857179583385436 gate      14870    0      48       0        0
nhal_veyr-full-15912857179583385436 corner    50802    0      114      0        0
nhal_veyr-full-531802985935182545  core      43147    0      196      0        0
nhal_veyr-full-531802985935182545  plot      7943     0      18       0        0
nhal_veyr-full-531802985935182545  avenue    80858    0      84       0        0
nhal_veyr-full-531802985935182545  district  211766   0      256      0        0
nhal_veyr-full-531802985935182545  approach  51097    0      60       0        0
nhal_veyr-full-531802985935182545  rampart   26869    0      44       0        0
nhal_veyr-full-531802985935182545  gate      14159    0      48       0        0
nhal_veyr-full-531802985935182545  corner    66091    0      120      0        0
nhal_veyr-full-531802985935182545-a core      43147    0      196      0        0
nhal_veyr-full-531802985935182545-a plot      7943     0      18       0        0
nhal_veyr-full-531802985935182545-a avenue    80858    0      84       0        0
nhal_veyr-full-531802985935182545-a district  211766   0      256      0        0
nhal_veyr-full-531802985935182545-a approach  51097    0      60       0        0
nhal_veyr-full-531802985935182545-a rampart   26869    0      44       0        0
nhal_veyr-full-531802985935182545-a gate      14159    0      48       0        0
nhal_veyr-full-531802985935182545-a corner    66091    0      120      0        0
nhal_veyr-full-531802985935182545-b core      43147    0      196      0        0
nhal_veyr-full-531802985935182545-b plot      7943     0      18       0        0
nhal_veyr-full-531802985935182545-b avenue    80858    0      84       0        0
nhal_veyr-full-531802985935182545-b district  211766   0      256      0        0
nhal_veyr-full-531802985935182545-b approach  51097    0      60       0        0
nhal_veyr-full-531802985935182545-b rampart   26869    0      44       0        0
nhal_veyr-full-531802985935182545-b gate      14159    0      48       0        0
nhal_veyr-full-531802985935182545-b corner    66091    0      144      1        0
nhal_veyr-full-531802985935182545-verify core      43147    0      196      0        0
nhal_veyr-full-531802985935182545-verify plot      7943     0      18       0        0
nhal_veyr-full-531802985935182545-verify avenue    80858    0      84       0        0
nhal_veyr-full-531802985935182545-verify district  211766   0      256      0        0
nhal_veyr-full-531802985935182545-verify approach  51097    0      60       0        0
nhal_veyr-full-531802985935182545-verify rampart   26869    0      44       0        0
nhal_veyr-full-531802985935182545-verify gate      14159    0      48       0        0
nhal_veyr-full-531802985935182545-verify corner    66091    0      120      0        0

== avenue digests
dur_brannoc-full-15912857179583385436 daf0c26848f5e2994b8112fca3d8af341f17543807aeb19372b5c4cacdbed3f5
dur_brannoc-full-531802985935182545 1e35beca74df122d78cf8f2c2fb624e8564c28cfa730f56d31034d9bcf72c52b
dur_brannoc-full-531802985935182545-verify 1e35beca74df122d78cf8f2c2fb624e8564c28cfa730f56d31034d9bcf72c52b
dur_brannoc-full-8675309 916e90cc971ee86ee9cc0fc2f88356a4a35ea1dc4afb918e097ce66f304aadac
gor_drazhak-full-531802985935182545 b5d947a639e85d56a1de207474257d35cf5e14a0018513ce3b8e92c835bd7714
gor_drazhak-full-531802985935182545-verify b5d947a639e85d56a1de207474257d35cf5e14a0018513ce3b8e92c835bd7714
hc-runner-full-8675309 a0dc9ee0024abbe3faa08405009948adef460efb2a9eaae5935a559c43a8d2fe
highcourt-edge-15912857179583385436 
highcourt-full-531802985935182545 1d0e286828e26b0a86fb01fc15dde545831361ee9313518620e1bb621425eb89
highcourt-full-531802985935182545-verify 1d0e286828e26b0a86fb01fc15dde545831361ee9313518620e1bb621425eb89
highcourt-full-8675309 a0dc9ee0024abbe3faa08405009948adef460efb2a9eaae5935a559c43a8d2fe
highcourt-full-8675309-a a0dc9ee0024abbe3faa08405009948adef460efb2a9eaae5935a559c43a8d2fe
highcourt-full-8675309-b a0dc9ee0024abbe3faa08405009948adef460efb2a9eaae5935a559c43a8d2fe
highcourt-full-8675309-c a0dc9ee0024abbe3faa08405009948adef460efb2a9eaae5935a559c43a8d2fe
highcourt-full-8675309-d a0dc9ee0024abbe3faa08405009948adef460efb2a9eaae5935a559c43a8d2fe
kezamba-full-15912857179583385436 080eb6ec9b088eb694a97828997270528f4cb5159066d4bfe4c551e372ffbdbd
kezamba-full-531802985935182545 d021d645432a42f41325188c542ff081856e1c9965f54681d9fd668ebba5635d
kezamba-full-531802985935182545-verify d021d645432a42f41325188c542ff081856e1c9965f54681d9fd668ebba5635d
lethariel-full-15912857179583385436 bee006b80635ff9f85d37cece4945601e76bc11a95dbab8572aba09d163d6b59
lethariel-full-531802985935182545 a0d99054886bfb13cd7db3ed561f9261740d79810b2d2beda01e5c685a9e6f9c
lethariel-full-531802985935182545-verify a0d99054886bfb13cd7db3ed561f9261740d79810b2d2beda01e5c685a9e6f9c
nhal_veyr-full-15912857179583385436 153b424036d6dd96dae0fef6d0c992b3ae22eb3849dea5fbc37beddf4a4257a8
nhal_veyr-full-531802985935182545 6a8a2158a82e96a8f648b0c62f7c91d2080303096bf9ad72fb24b48432f89966
nhal_veyr-full-531802985935182545-a 6a8a2158a82e96a8f648b0c62f7c91d2080303096bf9ad72fb24b48432f89966
nhal_veyr-full-531802985935182545-b 6a8a2158a82e96a8f648b0c62f7c91d2080303096bf9ad72fb24b48432f89966
nhal_veyr-full-531802985935182545-verify 6a8a2158a82e96a8f648b0c62f7c91d2080303096bf9ad72fb24b48432f89966
