kind	seed	lot	reference	skirt_face	best_side	best_step	walkable_sides
kezamba_walk	8675309	canopy_5	30	0	0,-1	0	4
kezamba_walk	8675309	canopy_6	33	0	0,-1	0	4
kezamba_walk	8675309	canopy_7	36	0	0,-1	0	4
kezamba_walk	8675309	canopy_8	29	1	0,-1	1	4
kezamba_walk	8675309	canopy_9	36	0	-1,0	0	4
kezamba_walk	8675309	canopy_10	33	1	-1,0	1	4
kezamba_walk	8675309	canopy_11	30	0	0,-1	0	4
kezamba_walk	8675309	canopy_f1	30	0	-1,0	0	4
kezamba_walk	8675309	canopy_f2	33	0	0,1	0	4
kezamba_walk	8675309	canopy_f3	33	0	0,-1	1	4
kezamba_walk	8675309	canopy_f4	30	0	0,-1	0	4
kezamba_walk	8675309	totem_1	42	1	1,0	1	4
kezamba_walk	8675309	totem_2	42	0	0,-1	1	4
kezamba_walk	8675309	totem_3	38	1	1,0	0	4
kezamba_walk	8675309	totem_4	39	0	0,-1	3	4
kezamba_walk	8675309	totem_5	33	0	-1,0	1	4
kezamba_walk	8675309	totem_6	33	0	-1,0	0	4
kezamba_walk	8675309	totem_7	30	0	0,-1	0	4
kezamba_walk	8675309	totem_f1	39	0	0,-1	1	4
kezamba_walk	8675309	totem_f2	39	0	-1,0	0	4
kezamba_walk	8675309	totem_f3	42	0	0,-1	1	4
kezamba_walk	8675309	totem_f4	38	0	0,1	1	3
kezamba_core_edge	8675309	48,0	66	water	-	-	-
kezamba_core_edge	8675309	-48,0	66	0	-	-	-
kezamba_core_edge	8675309	0,48	66	water	-	-	-
kezamba_core_edge	8675309	0,-48	66	0	-	-	-
kezamba_walk	15912857179583385436	shore_1	39	0	0,-1	0	4
kezamba_walk	15912857179583385436	shore_2	34	1	0,-1	0	4
kezamba_walk	15912857179583385436	shore_3	39	0	0,-1	0	4
kezamba_walk	15912857179583385436	shore_4	39	0	1,0	0	4
kezamba_walk	15912857179583385436	shore_5	39	0	0,-1	1	4
kezamba_walk	15912857179583385436	shore_6	39	0	0,1	0	4
kezamba_walk	15912857179583385436	shore_7	37	1	-1,0	1	4
kezamba_walk	15912857179583385436	shore_8	36	0	1,0	0	4
kezamba_walk	15912857179583385436	shore_9	36	2	-1,0	1	4
kezamba_walk	15912857179583385436	shore_f1	36	0	0,1	1	4
kezamba_walk	15912857179583385436	shore_f2	38	1	0,1	1	4
kezamba_walk	15912857179583385436	shore_f3	36	0	0,-1	2	4
kezamba_walk	15912857179583385436	shore_f4	39	0	0,-1	0	4
kezamba_walk	15912857179583385436	vine_1	33	0	0,1	0	4
kezamba_walk	15912857179583385436	vine_2	36	0	0,-1	1	4
kezamba_walk	15912857179583385436	vine_3	33	0	0,-1	0	4
kezamba_walk	15912857179583385436	vine_4	39	0	0,1	1	4
kezamba_walk	15912857179583385436	vine_5	45	0	-1,0	1	4
kezamba_walk	15912857179583385436	vine_6	42	0	1,0	0	4
kezamba_walk	15912857179583385436	vine_7	30	0	1,0	0	4
kezamba_walk	15912857179583385436	vine_8	42	0	0,-1	1	4
kezamba_walk	15912857179583385436	vine_9	33	0	0,1	1	4
kezamba_walk	15912857179583385436	vine_f1	42	0	1,0	0	4
kezamba_walk	15912857179583385436	vine_f2	36	0	0,-1	1	4
kezamba_walk	15912857179583385436	vine_f3	37	0	-1,0	1	4
kezamba_walk	15912857179583385436	vine_f4	45	1	0,-1	1	4
kezamba_walk	15912857179583385436	canopy_1	39	0	0,-1	0	4
kezamba_walk	15912857179583385436	canopy_2	37	1	-1,0	1	4
kezamba_walk	15912857179583385436	canopy_3	39	0	0,1	0	4
kezamba_walk	15912857179583385436	canopy_4	42	0	0,-1	1	4
kezamba_walk	15912857179583385436	canopy_5	42	0	0,1	1	4
kezamba_walk	15912857179583385436	canopy_6	34	1	0,-1	1	4
kezamba_walk	15912857179583385436	canopy_7	34	1	0,-1	1	4
kezamba_walk	15912857179583385436	canopy_8	37	1	-1,0	1	4
kezamba_walk	15912857179583385436	canopy_9	36	0	0,-1	0	4
kezamba_walk	15912857179583385436	canopy_10	42	0	0,1	2	4
kezamba_walk	15912857179583385436	canopy_11	45	0	0,1	1	4
kezamba_walk	15912857179583385436	canopy_f1	40	0	-1,0	1	4
kezamba_walk	15912857179583385436	canopy_f2	36	0	0,-1	0	4
kezamba_walk	15912857179583385436	canopy_f3	38	1	0,1	2	4
kezamba_walk	15912857179583385436	canopy_f4	39	0	-1,0	0	4
kezamba_walk	15912857179583385436	totem_1	39	0	0,-1	0	4
kezamba_walk	15912857179583385436	totem_2	39	0	0,-1	1	4
kezamba_walk	15912857179583385436	totem_3	39	0	0,1	1	4
kezamba_walk	15912857179583385436	totem_4	39	1	-1,0	1	4
kezamba_walk	15912857179583385436	totem_5	40	1	1,0	0	4
kezamba_walk	15912857179583385436	totem_6	37	1	0,-1	1	4
kezamba_walk	15912857179583385436	totem_7	42	0	-1,0	0	4
kezamba_walk	15912857179583385436	totem_f1	40	0	0,-1	1	4
kezamba_walk	15912857179583385436	totem_f2	36	0	0,1	1	4
kezamba_walk	15912857179583385436	totem_f3	45	0	-1,0	1	4
kezamba_walk	15912857179583385436	totem_f4	39	0	0,1	0	4
kezamba_core_edge	15912857179583385436	48,0	66	water	-	-	-
kezamba_core_edge	15912857179583385436	-48,0	66	0	-	-	-
kezamba_core_edge	15912857179583385436	0,48	66	water	-	-	-
kezamba_core_edge	15912857179583385436	0,-48	66	0	-	-	-
kezamba_walk	0	shore_1	32	1	0,1	1	4
kezamba_walk	0	shore_2	21	0	1,0	0	4
kezamba_walk	0	shore_3	28	2	-1,0	0	4
kezamba_walk	0	shore_4	30	0	0,1	0	4
kezamba_walk	0	shore_5	30	0	0,-1	0	4
kezamba_walk	0	shore_6	21	0	-1,0	0	4
kezamba_walk	0	shore_7	23	0	-1,0	1	4
kezamba_walk	0	shore_8	29	0	1,0	1	4
kezamba_walk	0	shore_9	22	0	0,-1	1	4
kezamba_walk	0	shore_f1	29	0	-1,0	1	4
kezamba_walk	0	shore_f2	30	0	0,1	0	4
kezamba_walk	0	shore_f3	30	0	0,1	0	4
kezamba_walk	0	shore_f4	33	0	0,-1	1	4
kezamba_walk	0	vine_1	30	0	-1,0	0	4
kezamba_walk	0	vine_2	30	0	-1,0	1	4
kezamba_walk	0	vine_3	21	0	0,1	0	4
kezamba_walk	0	vine_4	29	1	-1,0	1	4
kezamba_walk	0	vine_5	36	0	-1,0	0	4
kezamba_walk	0	vine_6	36	0	1,0	0	4
kezamba_walk	0	vine_7	21	0	0,-1	0	4
kezamba_walk	0	vine_8	36	0	0,-1	1	4
kezamba_walk	0	vine_9	28	2	1,0	0	4
kezamba_walk	0	vine_f1	27	0	0,-1	1	4
kezamba_walk	0	vine_f2	24	0	0,-1	1	4
kezamba_walk	0	vine_f3	33	0	-1,0	0	4
kezamba_walk	0	vine_f4	24	0	0,-1	0	4
kezamba_walk	0	canopy_1	25	0	1,0	1	4
kezamba_walk	0	canopy_2	31	1	0,-1	1	4
kezamba_walk	0	canopy_3	24	0	0,1	0	4
kezamba_walk	0	canopy_4	32	1	0,1	1	4
kezamba_walk	0	canopy_5	24	0	0,-1	1	4
kezamba_walk	0	canopy_6	30	0	-1,0	1	4
kezamba_walk	0	canopy_7	27	0	0,-1	1	4
kezamba_walk	0	canopy_8	33	0	0,-1	1	4
kezamba_walk	0	canopy_9	28	1	0,1	1	4
kezamba_walk	0	canopy_10	30	0	-1,0	1	4
kezamba_walk	0	canopy_11	30	0	1,0	0	4
kezamba_walk	0	canopy_f1	27	0	0,1	1	4
kezamba_walk	0	canopy_f2	29	1	1,0	1	4
kezamba_walk	0	canopy_f3	27	0	0,-1	1	4
kezamba_walk	0	canopy_f4	24	0	-1,0	0	4
kezamba_walk	0	totem_1	25	2	0,-1	1	4
kezamba_walk	0	totem_2	21	0	0,1	0	4
kezamba_walk	0	totem_3	30	0	0,-1	0	4
kezamba_walk	0	totem_4	23	1	1,0	0	4
kezamba_walk	0	totem_5	30	0	1,0	0	4
kezamba_walk	0	totem_6	30	0	-1,0	0	4
kezamba_walk	0	totem_7	33	0	0,-1	0	4
kezamba_walk	0	totem_f1	24	0	-1,0	1	4
kezamba_walk	0	totem_f2	21	0	-1,0	1	4
kezamba_walk	0	totem_f3	18	0	0,-1	0	4
kezamba_walk	0	totem_f4	28	0	0,1	1	3
kezamba_core_edge	0	48,0	66	water	-	-	-
kezamba_core_edge	0	-48,0	66	0	-	-	-
kezamba_core_edge	0	0,48	66	water	-	-	-
kezamba_core_edge	0	0,-48	66	0	-	-	-
kezamba_walk	1	shore_1	35	1	0,1	0	4
kezamba_walk	1	shore_2	30	0	0,-1	1	4
kezamba_walk	1	shore_3	36	0	0,-1	1	4
kezamba_walk	1	shore_4	34	1	0,-1	1	4
kezamba_walk	1	shore_5	34	1	0,1	0	4
kezamba_walk	1	shore_6	27	0	0,-1	1	4
kezamba_walk	1	shore_7	33	0	1,0	0	4
kezamba_walk	1	shore_8	33	0	-1,0	0	4
kezamba_walk	1	shore_9	30	0	1,0	0	4
kezamba_walk	1	shore_f1	36	0	0,-1	0	4
kezamba_walk	1	shore_f2	36	0	0,-1	0	4
kezamba_walk	1	shore_f3	27	0	1,0	1	4
kezamba_walk	1	shore_f4	36	0	0,-1	0	4
kezamba_walk	1	vine_1	31	3	-1,0	1	4
kezamba_walk	1	vine_2	40	1	0,1	1	4
kezamba_walk	1	vine_3	31	1	0,-1	1	4
kezamba_walk	1	vine_4	34	0	-1,0	1	4
kezamba_walk	1	vine_5	42	0	-1,0	0	4
kezamba_walk	1	vine_6	42	0	0,-1	1	4
kezamba_walk	1	vine_7	38	1	1,0	1	4
kezamba_walk	1	vine_8	45	0	0,1	1	4
kezamba_walk	1	vine_9	33	0	0,-1	1	4
kezamba_walk	1	vine_f1	40	0	-1,0	1	4
kezamba_walk	1	vine_f2	33	0	-1,0	0	4
kezamba_walk	1	vine_f3	47	1	0,-1	1	4
kezamba_walk	1	vine_f4	33	0	0,-1	1	4
kezamba_walk	1	canopy_1	36	0	-1,0	0	4
kezamba_walk	1	canopy_2	36	0	1,0	0	4
kezamba_walk	1	canopy_3	36	0	0,-1	1	4
kezamba_walk	1	canopy_4	33	0	0,-1	1	4
kezamba_walk	1	canopy_5	39	0	0,1	1	4
kezamba_walk	1	canopy_6	39	0	0,-1	0	4
kezamba_walk	1	canopy_7	33	0	1,0	1	4
kezamba_walk	1	canopy_8	38	1	0,-1	1	4
kezamba_walk	1	canopy_9	33	0	0,-1	0	4
kezamba_walk	1	canopy_10	30	0	0,1	2	4
kezamba_walk	1	canopy_11	36	0	1,0	0	4
kezamba_walk	1	canopy_f1	36	0	0,-1	0	4
kezamba_walk	1	canopy_f2	39	0	0,1	0	4
kezamba_walk	1	canopy_f3	39	0	0,-1	0	4
kezamba_walk	1	canopy_f4	39	0	-1,0	0	4
kezamba_walk	1	totem_1	33	2	-1,0	1	4
kezamba_walk	1	totem_2	33	1	0,-1	1	4
kezamba_walk	1	totem_3	33	0	-1,0	0	4
kezamba_walk	1	totem_4	36	0	0,1	0	4
kezamba_walk	1	totem_5	33	0	0,-1	0	4
kezamba_walk	1	totem_6	33	2	-1,0	1	4
kezamba_walk	1	totem_7	34	0	1,0	1	4
kezamba_walk	1	totem_f1	31	0	1,0	0	4
kezamba_walk	1	totem_f2	36	0	0,1	0	4
kezamba_walk	1	totem_f3	33	0	0,-1	1	4
kezamba_walk	1	totem_f4	39	0	-1,0	0	4
kezamba_core_edge	1	48,0	66	water	-	-	-
kezamba_core_edge	1	-48,0	66	0	-	-	-
kezamba_core_edge	1	0,48	66	water	-	-	-
kezamba_core_edge	1	0,-48	66	0	-	-	-
kezamba_walk	2	shore_1	27	0	-1,0	1	4
kezamba_walk	2	shore_2	28	0	-1,0	1	4
kezamba_walk	2	shore_3	24	0	0,-1	1	4
kezamba_walk	2	shore_4	30	0	0,-1	1	4
kezamba_walk	2	shore_5	27	0	-1,0	0	4
kezamba_walk	2	shore_6	26	1	-1,0	1	4
kezamba_walk	2	shore_7	26	1	-1,0	1	4
kezamba_walk	2	shore_8	21	0	0,-1	1	4
kezamba_walk	2	shore_9	30	0	0,-1	1	4
kezamba_walk	2	shore_f1	27	0	0,-1	0	4
kezamba_walk	2	shore_f2	22	2	0,1	0	4
kezamba_walk	2	shore_f3	21	1	-1,0	1	4
kezamba_walk	2	shore_f4	24	0	0,1	0	4
kezamba_walk	2	vine_1	29	1	0,1	0	4
kezamba_walk	2	vine_2	33	0	0,1	0	4
kezamba_walk	2	vine_3	31	0	-1,0	1	3
kezamba_walk	2	vine_4	27	0	0,1	0	4
kezamba_walk	2	vine_5	36	0	1,0	0	4
kezamba_walk	2	vine_6	36	0	1,0	0	4
kezamba_walk	2	vine_7	40	1	0,1	0	4
kezamba_walk	2	vine_8	36	0	-1,0	0	4
kezamba_walk	2	vine_9	30	0	1,0	1	4
kezamba_walk	2	vine_f1	27	3	0,1	0	4
kezamba_walk	2	vine_f2	29	1	-1,0	1	4
kezamba_walk	2	vine_f3	32	1	-1,0	0	4
kezamba_walk	2	vine_f4	32	1	-1,0	0	4
kezamba_walk	2	canopy_1	36	1	-1,0	1	4
kezamba_walk	2	canopy_2	38	1	0,-1	1	4
kezamba_walk	2	canopy_3	39	0	0,-1	1	4
kezamba_walk	2	canopy_4	39	0	0,1	0	4
kezamba_walk	2	canopy_5	40	1	1,0	0	4
kezamba_walk	2	canopy_6	36	0	0,-1	1	4
kezamba_walk	2	canopy_7	37	2	0,1	0	4
kezamba_walk	2	canopy_8	35	1	0,1	1	4
kezamba_walk	2	canopy_9	33	0	0,-1	1	4
kezamba_walk	2	canopy_10	39	0	0,-1	0	4
kezamba_walk	2	canopy_11	37	0	-1,0	1	4
kezamba_walk	2	canopy_f1	39	0	0,-1	0	4
kezamba_walk	2	canopy_f2	33	0	-1,0	1	4
kezamba_walk	2	canopy_f3	38	1	0,-1	1	4
kezamba_walk	2	canopy_f4	39	0	1,0	0	4
kezamba_walk	2	totem_1	30	0	0,-1	0	4
kezamba_walk	2	totem_2	30	0	-1,0	1	4
