schema	grug_wp40_extreme_candidate_shard_v3
range	2048	2559	512
s1_authority_sha256	10a790a6436a740efc83e98afe3c374ac4b3520bb425de3d2bd0ac76622db37c
s1_source_projection_sha256	83b1b16a8afd11af654b5dd3e1d9921006848a0903e7b0c01ab39b27edddd652
authority_dag_sha256	069cce2d637d30538131defbbba0a64bb9cc65f22c71a00fd287183d2518e20a
authority_commit	19fc28d1e1ecb2a18c7bb208d21c448cce12bc7d
authority_tree	bca04056315412b9f19f20bbe554b0693f658c17
interpreter_id	luajit
interpreter_launcher	/usr/bin/luajit
interpreter_path	/usr/bin/luajit-2.1.1767980792
interpreter_version	LuaJIT 2.1.1767980792 -- Copyright (C) 2005-2026 Mike Pall. https://luajit.org/
interpreter_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
measurement_scope	R7_SCALAR_MEASUREMENT_ONLY
stage2_status	pending_selected_four
scorer_schema	grug_wp40_extreme_selector_e0_v1
rows_sha256	4f89cd2c92787008672a138ba7e766e0313c5a346235821feb02c2c84e428181
candidate_index	status	label	digest	first8	decimal	coast_n	coast_d	coast_count	coast_sequence_sha256	coast_identity_sha256	noncoast_n	noncoast_d	noncoast_count	noncoast_sequence_sha256	noncoast_identity_sha256
2058	scored	grudgelands-wp40-extreme-2058	1fcd9a924a8c495d9a17692f60238f030d888c9c855dd7b6348d89b3eb2f9335	1fcd9a924a8c495d	2291657738508061021	245979	1543503872	23552	576a73632f08caf33534aae8c5e2701f93ec6e2fbe7be0d3f3c3b6e6022f3b1b	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-1658227	44632637440	42565	fcbd33e50895e3c481d6059ede0be8db9ea15a6dc8681263976a1adcd7fd4ec1	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2059	scored	grudgelands-wp40-extreme-2059	d41a7c3ec460422508aea43ca6291ebff1b539111a43f90d8b9e9a5c59da4154	d41a7c3ec4604225	15283664894459658789	-41227831	24696061952	23552	673645175469cfd702f0bb8e3c4c207078b8d357a9d2398b4563c7650efe97fb	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-232525809	22316318720	42565	30d3e0c9f62ca64b263fa0bfd0e8c977afe693525b98b981e2c0b2184541bd62	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2060	scored	grudgelands-wp40-extreme-2060	9820cc5286e7c0e99d9fb67879505bc4ec7e4c748547854cfe1af866675e0611	9820cc5286e7c0e9	10961986147842506985	152652827	148176371712	23552	5071928b4c6a572b7d954cb000538b833bdfb5f163d0817bfc7204ff09f141ef	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	3112403921	178530549760	42565	1c354683b4b197763aa68b477a4af9e33c278fc5c3c3f6fd43eb286c22efa0a3	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2061	scored	grudgelands-wp40-extreme-2061	56736d2ced2ed120b18fb9b9d10d3709b9a99f3b80b648087ac2256e294bb584	56736d2ced2ed120	6229442749308784928	379081723	148176371712	23552	3ee76feaa9ffcf20beaeac8da1213d1661261e421ff1310f0248a5b0b538b71a	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-903813769	178530549760	42565	39d2327c9e378549d5b8c47dce6bff4829be9eb7f74a0548bbbe49ae5438bdde	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2062	scored	grudgelands-wp40-extreme-2062	9f6e1688c546b0b44d93ab4dbfbc952d4ca3cc095138bc612d6be5ab80f14c91	9f6e1688c546b0b4	11488144476149821620	-50098949	148176371712	23552	80bf30c6fa2c039df53850ee468dac7caea1b0769419c443ff68101717913808	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-10338521	178530549760	42565	c6b78f048a963f3916ae826917948db245661a578fc09c0c142fb36766fec658	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2063	scored	grudgelands-wp40-extreme-2063	fff3a26a081057716317f5f3092d8eaa2474bb302a98572d118875e06a2e30e2	fff3a26a08105771	18443263475297834865	23023589	148176371712	23552	6897651765c686cd422145a10f7fafb759ef68fd2a25d35bd4ce85b8c0ed2abd	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	25701459	178530549760	42565	785fe0904dbdb45f601b0383db4fa70eac27d19372aafce5ed6089691876a7e5	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2064	scored	grudgelands-wp40-extreme-2064	a96a5403f91d47898e6fcc02dc9101d849f99f0a7de4c4a4ef7506569aea23ad	a96a5403f91d4789	12207662115982231433	26926739	18522046464	23552	59516e4a971cfc0be8e363b39b1316e503fee46795d638f5d42265ed5524039f	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	75508483	44632637440	42565	1006fc531a9c6822871abcbd7154380e3002b8545f09bcf9b54149b774db9652	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2065	scored	grudgelands-wp40-extreme-2065	71d9d31656fa000c424c7a3b0589e378b0899ed35c884ef8f9eb455b422022be	71d9d31656fa000c	8203820289134034956	-85365241	74088185856	23552	014e5824435960d897b850e5122d72be37b27d4f2cae9022392458da7a40449f	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-417437611	89265274880	42565	398d17530befaa97f65a92ce5ab1f0d17bcee211cc40fac387073b29dbebfdd3	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2066	scored	grudgelands-wp40-extreme-2066	20098309ba2af1b11df335b5428f86e31830c17f31c19f73377ff10cdbd0b013	20098309ba2af1b1	2308520361805410737	12177273	24696061952	23552	1d5c08868d6de6605ac98cb0bb2d4049fd94e048fd88ff4ed3318c86808ac0ed	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-1085635197	89265274880	42565	e0631919e80947515689e2416d3071294527f2e08f497d5966a29cae86396256	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2067	scored	grudgelands-wp40-extreme-2067	9ed3922175e9734a2080ded6af4e4681dfe636bf05da5c51d8243ef8d4cd2381	9ed3922175e9734a	11444651750488372042	15184657	49392123904	23552	27c56233329ce604cad7acabbfaf2be3e2da595ffbd59192d7fd56a3eebacb11	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-1850292783	178530549760	42565	db328557a585a17f41469737129b86a37bd0da765f9e151250f7e7a3074c6097	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
