schema	grug_wp40_extreme_candidate_shard_v2
range	1024	1535	512
source_checksum	154cbc31dea35e0aed06f9525ecb3f2d1ac6fa90f0a71e127da591ed16ed067d
boundary_policy_checksum	a32f35c4621d84b50f93253fa7e046fe79553796d6b2752f6344ebf4cea1380f
partition_sha256	de53e1b5cc0cc3fcaee2d58ce3cc391c637b123d430f234c74e4960ad4bee967
authority_dag_sha256	d059686fb3668627b1ed153e5f54aa5572fd96624e43487b2c157dbc4c505949
authority_commit	53be77ee3dab615be39c2e66b6d24a4adccc3d26
authority_tree	c9ac6639048804f15d76bd02101cf9e3a062e9de
interpreter_id	luajit
interpreter_launcher	/usr/bin/luajit
interpreter_path	/usr/bin/luajit-2.1.1767980792
interpreter_version	LuaJIT 2.1.1767980792 -- Copyright (C) 2005-2026 Mike Pall. https://luajit.org/
interpreter_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
measurement_scope	R7_SCALAR_MEASUREMENT_ONLY
stage2_status	pending_selected_four
scorer_schema	grug_wp40_extreme_selector_e0_v1
rows_sha256	761144b369db7602e36dd2e9f433e60b52c219bf69256522f4d0098aa2764979
candidate_index	status	label	digest	first8	decimal	coast_n	coast_d	coast_count	coast_sequence_sha256	coast_identity_sha256	noncoast_n	noncoast_d	noncoast_count	noncoast_sequence_sha256	noncoast_identity_sha256
1034	scored	grudgelands-wp40-extreme-1034	7dcd181fdceebdd303decc070306bb6ade3792c0524030faa4ebfe0df7df4836	7dcd181fdceebdd3	9064928150096362963	-183858233	148176371712	23552	c9e507d14e3cd5cbbfa4cbb5913d2cdddd21381a2db0bbcd842e2ec05256033b	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-1238250097	178530549760	42565	7ac9c1f59841e02ef9b427d59c0983a4cdbd20b3e115fc95dd2bc5806ce68cc2	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1035	scored	grudgelands-wp40-extreme-1035	d0eabd87cf82548143586cd3106969c113d66cd9676fe923ee615b5eb967ad52	d0eabd87cf825481	15054053095438963841	2870793	1543503872	23552	b07010414d75cd0a556a2881b00aebc4ad530ca73d228cf77fcb746fe8fd61ca	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	67539509	89265274880	42565	711cf2a72582401f1f863e1ef3bc1e9011776c986c271f0846606e999a2064f0	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1036	scored	grudgelands-wp40-extreme-1036	1459fa839049649a9475474f8cdf313f3f08759fc9bf441f181a34af1991ba94	1459fa839049649a	1466478596654195866	30118443	49392123904	23552	e367bdfe5dc108a558e3ce6aed7448e24b60fbe979e52b7a9f01e94d1f7f06d9	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	380308639	89265274880	42565	de961d7f08e53a488ef1c9535ea09e0baaa8a101c85523d58e8c5e43f0f7aa19	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1037	scored	grudgelands-wp40-extreme-1037	7eeb1ba57dd488ab7c5f01610860194d56e02297b672246e51aa93188ecd9102	7eeb1ba57dd488ab	9145433865900558507	-7928695	37044092928	23552	f736e98229e4807433c0020387143261cab02c86880b074e279b40e856c6e4e2	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	1037236701	178530549760	42565	e01a99b590b2f9be8c46dacc932c6408955619c2ba7bfab7117f46fab0910949	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1038	scored	grudgelands-wp40-extreme-1038	2567f0d4f476a0c583f7a67f0ef14b19e2ae8d4af88bf74575722fa878d2084e	2567f0d4f476a0c5	2695387699429679301	33255193	49392123904	23552	348e55964e58ccf778009d152e64344a36f0d7d0f8740ae444baa002e77ad8a4	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-25900143	5579079680	42565	1e5227cf85f1609f781f283319314fb5de23be4e7ec2eb0589cd7677da07b5ba	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1039	scored	grudgelands-wp40-extreme-1039	8a7c3ee2bc15863eb9c9a847f144edd939ac711d0d0daafe24fd1a103e9a41b3	8a7c3ee2bc15863e	9978920017885234750	702913	402653184	23552	8cd33142df901d961b59902e530fad68862fa4630180ab9e18f890ee222fa7be	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	1733281897	178530549760	42565	6270c8ab31aad84f18d74e70772e14a1bbaff1a0e42d1866b2a772e177cc2524	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1040	scored	grudgelands-wp40-extreme-1040	c5ffa1c1db37d4a06bbed9d9096ae09de40d8154ccd55d04aab8854ad99a6388	c5ffa1c1db37d4a0	14267299998511649952	17791403	18522046464	23552	8fe8907e02fd3768ac5ffa28ad32fe958e1fa519593011a4c57cb002eb60bf55	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-245542439	44632637440	42565	1484108f755299eeac063232765870f86b5756ed94c5152e7abd2c694fc4a962	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1041	scored	grudgelands-wp40-extreme-1041	84e6ff5d653f414789348027b65df904aa615c199fc849cdcddfeaa9e07584fa	84e6ff5d653f4147	9576622434245624135	-74142587	74088185856	23552	2fe78b5882ad17d0259721679aca70ea95f1747d9c1cd8148578fc36dd215968	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-847649411	178530549760	42565	79be41075a4ce9a027d30d7bd53c1a88b2c834ddd3cdc45601a74a3c28f095e8	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1042	scored	grudgelands-wp40-extreme-1042	5326523f31a6622d430f9e705c1c1e0075c4de7c8be1ce69186f7b50550d78fc	5326523f31a6622d	5991566785632428589	14223583	18522046464	23552	1ae8c031557e6f85741a21ad913798f7e71db7aed50ce10ed89baf74e072ef30	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	812478701	89265274880	42565	3537b4acbe922792f662f2f9525da44dae4ddfba0569a1357bcee6cc5311dec7	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1043	scored	grudgelands-wp40-extreme-1043	ce937c0760e8c56f04c5ce2dd041df8bf945f9ce6d512b9b0d8bf0b0d723c859	ce937c0760e8c56f	14885377564522104175	43360079	74088185856	23552	e037db1908d5dadadeabb6a71b7a02ac466fe2a6189bcf7ef626572877d51f3b	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	413337607	89265274880	42565	a0c8def771025880aefa012027d3542e55cb92e965e616d765ee6088c6a40a59	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
