schema	grug_wp40_extreme_candidate_shard_v2
range	3072	3583	512
source_checksum	154cbc31dea35e0aed06f9525ecb3f2d1ac6fa90f0a71e127da591ed16ed067d
boundary_policy_checksum	a32f35c4621d84b50f93253fa7e046fe79553796d6b2752f6344ebf4cea1380f
partition_sha256	de53e1b5cc0cc3fcaee2d58ce3cc391c637b123d430f234c74e4960ad4bee967
authority_dag_sha256	d059686fb3668627b1ed153e5f54aa5572fd96624e43487b2c157dbc4c505949
authority_commit	53be77ee3dab615be39c2e66b6d24a4adccc3d26
authority_tree	c9ac6639048804f15d76bd02101cf9e3a062e9de
interpreter_id	luajit
interpreter_launcher	/usr/bin/luajit
interpreter_path	/usr/bin/luajit-2.1.1767980792
interpreter_version	LuaJIT 2.1.1767980792 -- Copyright (C) 2005-2026 Mike Pall. https://luajit.org/
interpreter_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
measurement_scope	R7_SCALAR_MEASUREMENT_ONLY
stage2_status	pending_selected_four
scorer_schema	grug_wp40_extreme_selector_e0_v1
rows_sha256	04ed8f0f990aded37cf5367d245c9a08d2175616d8cd81378321ec7a7e479f1b
candidate_index	status	label	digest	first8	decimal	coast_n	coast_d	coast_count	coast_sequence_sha256	coast_identity_sha256	noncoast_n	noncoast_d	noncoast_count	noncoast_sequence_sha256	noncoast_identity_sha256
3082	scored	grudgelands-wp40-extreme-3082	5d713b9639999b863fa4b67646f73e3dc1215d7c63e8222690c005f0ebe799b5	5d713b9639999b86	6733228434293103494	125985923	74088185856	23552	ceb39673a2cb49006328f43a315ae0225553cd88a64ad60263301f5d5ca08d9a	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-448375891	89265274880	42565	784e7af58bc553190186c6096a4926185604c2c4a1727f2acf2ba0956d059772	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3083	scored	grudgelands-wp40-extreme-3083	d25a0aec03417fc70a3c31f4ca636cd7657aba6d174cf1a022b2a3864dd58a18	d25a0aec03417fc7	15157439504652009415	-168478235	148176371712	23552	df34e685f1fcbc787b8546c2c144256224ab3c4fbe460a36d466210d69a5b7a2	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	997167311	178530549760	42565	b91ef2b3db742e6cb2a6d31c1661ae08d532d5774beeca04e28e8aa3e9ea888b	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3084	scored	grudgelands-wp40-extreme-3084	93621de5fdb139f01eec026a66f383afd59a711ff912332fe49162026c158629	93621de5fdb139f0	10620083744934017520	4200211	6174015488	23552	dc61138d802cad6b8f2689e681fbafb632b9ef11c7b6c568110eb834bbf2bdb1	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	63353183	35706109952	42565	d4c512c8c1230c534222c3f5dff00530c065ed01c15a113d67eb7f2130f46672	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3085	scored	grudgelands-wp40-extreme-3085	06c6dd92d5499d82b550cf8550da6dbcd21dd7712b30539db46b0182ee07b53d	06c6dd92d5499d82	488321232329612674	-7121629	24696061952	23552	e4c2abea239853f4d085bdeb344a2bb9e1368da70da919275090782668286e7a	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-31620599	17853054976	42565	04bf62cd71c170ba5af2d45c1c417b17d3e3ebd2014a63a16f44e5d0491ed40e	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3086	scored	grudgelands-wp40-extreme-3086	62130834089bf4dcbdd5ad9aac68834ede09c39c093b20afb21f6a315bf53170	62130834089bf4dc	7067001259850200284	180301433	148176371712	23552	2219eb570827efe816c54f9d437c910506350e60d7bc4afa267c3429a590242e	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-156243189	178530549760	42565	787c1f2bd1b693b0844e105846fbff39123b11db740ddb92be35f5812f58623d	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3087	scored	grudgelands-wp40-extreme-3087	48c757d2d845f84f52f5e0b8e652fb4b11a45c9b286d873a6c8fd8b967f03127	48c757d2d845f84f	5244256854179444815	693403	1157627904	23552	e91881abd7de9c7a7b88eb5da9060f285e9763d46894aeac8024143c7509593a	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	495315557	89265274880	42565	ca94f7514739da2204f93a1e0bad69ee655c224d69eb12592afbf0c151f63a4e	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3088	scored	grudgelands-wp40-extreme-3088	10fd916c351f1d21261c401ee8f5637c4ef967b5c42e99817c256331c8ccc5e8	10fd916c351f1d21	1224294567648369953	-166631489	148176371712	23552	4c11d1a57b42faa69dee6e890a921fe8b54c9636cc39cd128da4f6588ad95922	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	76038857	35706109952	42565	beefa817b6969501865c4f01aa2d5564ddeb2f173bf0827381a6512846f68284	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3089	scored	grudgelands-wp40-extreme-3089	1a7993f5e53add2f9704c2b71fee1d028cba67a98b9010f4bd3578d53c0fe64b	1a7993f5e53add2f	1907718601490226479	27058073	49392123904	23552	048dd9980e94c624f80b43ac8f5e77f841469754cc9a39fece5a11def174c3fc	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-34273421	11158159360	42565	4d9349b2350a850bedc66a15530ae5c59771a4a0af04fc993fdc5c414a75263b	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3090	scored	grudgelands-wp40-extreme-3090	a3870b2427b1578ee7220201b53765a86fb558145fa6df0adcc939ee852331dd	a3870b2427b1578e	11783399199950854030	156846923	148176371712	23552	863a363209ee576c979502cc75bc4d0149f3b25fd20ad9b24aff22ea9fdfd245	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	269061839	22316318720	42565	3afb7385f4d1dfd5f9504eab6378f09027e154ed5ef39de9d255c20cea08ec98	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3091	scored	grudgelands-wp40-extreme-3091	d87a843091abb62152416709c79a4272db0002ce6bc9f1ec5b8f90abb58012ff	d87a843091abb621	15598925603488380449	1225769	2315255808	23552	b106ae4c4bc43a0d6ae189eb821f4a348c7109507e69c6dbd49a05b209a4ef14	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	1039366651	178530549760	42565	212e157dda89a8be6500b7240ed48a697c5aae7453475b15fdd64c758ac844bb	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
