schema	grug_wp40_extreme_candidate_shard_v2
range	0	511	512
source_checksum	154cbc31dea35e0aed06f9525ecb3f2d1ac6fa90f0a71e127da591ed16ed067d
boundary_policy_checksum	a32f35c4621d84b50f93253fa7e046fe79553796d6b2752f6344ebf4cea1380f
partition_sha256	de53e1b5cc0cc3fcaee2d58ce3cc391c637b123d430f234c74e4960ad4bee967
authority_dag_sha256	d059686fb3668627b1ed153e5f54aa5572fd96624e43487b2c157dbc4c505949
authority_commit	53be77ee3dab615be39c2e66b6d24a4adccc3d26
authority_tree	c9ac6639048804f15d76bd02101cf9e3a062e9de
interpreter_id	luajit
interpreter_launcher	/usr/bin/luajit
interpreter_path	/usr/bin/luajit-2.1.1767980792
interpreter_version	LuaJIT 2.1.1767980792 -- Copyright (C) 2005-2026 Mike Pall. https://luajit.org/
interpreter_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
measurement_scope	R7_SCALAR_MEASUREMENT_ONLY
stage2_status	pending_selected_four
scorer_schema	grug_wp40_extreme_selector_e0_v1
rows_sha256	724dd6ed0412043450947d60a00995bbd7dcac49e0057579ff479fc75e6bc667
candidate_index	status	label	digest	first8	decimal	coast_n	coast_d	coast_count	coast_sequence_sha256	coast_identity_sha256	noncoast_n	noncoast_d	noncoast_count	noncoast_sequence_sha256	noncoast_identity_sha256
10	scored	grudgelands-wp40-extreme-0010	096e10924ffe6a6a92cfab2647364c0b70922b6fe345695f1fafac405c1af08d	096e10924ffe6a6a	679498814372866666	137615315	74088185856	23552	f4450e34f54d8e64669a8fc0eca5e3449341245f9f9052aea81325e65c8e100f	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-43009349	11158159360	42565	4743ea8d42da946beb7b93b0fae5ac8903f8f867913dcc93a665b20ae94d7f85	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
11	scored	grudgelands-wp40-extreme-0011	b1cacb8802a4528923d793d50ac6a6be11f86d539d64b9b16d55bfa87ec7d0ea	b1cacb8802a45289	12811275875029111433	113235229	148176371712	23552	49f0ee8823e7881550fd52b277d26140c2549d978de525be3a6c20217f3fb961	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	338055123	178530549760	42565	5565c2954495856442643d30575e3eec0871c8fc471357b4060224c4788f468e	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
12	scored	grudgelands-wp40-extreme-0012	04c4f9f44944afe067226759c424b3dce7830b12f29815e5de82442efcccea03	04c4f9f44944afe0	343674299183575008	-187664503	74088185856	23552	0327bf10a69f9dd53734954a6d4d5cf1f88bff7528029cd4038df67888b16aec	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	851267459	89265274880	42565	74924caf5bf8d1451170e570f0186ba8b7425dc73ffbc8ccbfa11f422d4480b3	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
13	scored	grudgelands-wp40-extreme-0013	09ed0eea311bb4fbb0ed6c2c1968aaf184acbacff1e3a59623a1cc1ae21742cb	09ed0eea311bb4fb	715244314830812411	-294531959	148176371712	23552	316d000877dbe0f1034106e684e549b6831d8315c03ac8fba05cc0d6fe377a17	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	171494327	89265274880	42565	eed35ebc4a71d8ac1dcf6cd9f62f7b28177ebf789f96cd1b8937fe9c6a3c71e4	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
14	scored	grudgelands-wp40-extreme-0014	0f4ad9abb1d36a60213a643ac58a0282a82d9a3f7afb29d8542efeb92d4fc002	0f4ad9abb1d36a60	1101932390291565152	34512501	49392123904	23552	088332166fac86697c551ad10e24fb382aa47874252dcb9ae55c984102d5e673	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-398009947	178530549760	42565	aba2cefe7965932a77238dfcba5ee62f0bfdc7e80a5af9b5eba1df4c9c4ee53c	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
15	scored	grudgelands-wp40-extreme-0015	94fe6bb16274234c64b5efcf8d901f0270074a9f5ab0686713c8f2fed269e9e0	94fe6bb16274234c	10736136971303002956	-197365931	148176371712	23552	22d2cd2d59f50c462ae879d6516d04754337f6facaa29230519f42f4cf9709e1	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-533282441	89265274880	42565	c76577f9a65e48648712d3455966a4aa6c7594fcf3118c5ae76be09b659d6166	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
16	scored	grudgelands-wp40-extreme-0016	c2972673ac2958a95f810763869c96ea12d0d8faa520f9274e4fe243bc6eb7d6	c2972673ac2958a9	14021718243092813993	45211731	12348030976	23552	1eef35eb599ed0ed1105bc9d4e654507857712c4bb95060bdab20223cdd87356	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	135836957	178530549760	42565	bfcb25b19c8a692f2311c2138452305f1d58d4c515b80664bf7c5951c857b77b	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
17	scored	grudgelands-wp40-extreme-0017	2101e85a7542879c01ccdf128ebf70adcc2fdb7eefabffe0fdf0f3811475868f	2101e85a7542879c	2378437553440327580	-2478935	24696061952	23552	081f38178975998921251ca761f6ec58a7db738a3ad1924da6f6625189b805ec	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-756500477	89265274880	42565	83bf718ccee5160b0abe493e20274e96ac0697166115f1bc82ab12151b34640f	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
18	scored	grudgelands-wp40-extreme-0018	6a87e57da315c101ece5d8d4371e2910b7011430281184fb98ab1ad32cfa8968	6a87e57da315c101	7676356417646084353	-345306989	148176371712	23552	fe6e468c7fce9f6df4ce85d1cae4ecc029ede6fb3d9896b5cacff89760eddf8f	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	141783021	22316318720	42565	ccec691fcebd0f91e69aef4c6b0f47750bcc8702ef18abb994cc4795c704ae8b	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
19	scored	grudgelands-wp40-extreme-0019	74f50b054ce66b8ca69e2fab7fa91b038599d22018046cd585818bcf4ee81c1b	74f50b054ce66b8c	8427654395086662540	10164635	9261023232	23552	c9f000d61c96450aa0aead43164e739e336706ce1e4f3b5e156bcf4e61ffa9ab	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	15600997	178530549760	42565	bee61f437bb24f9586f498eb53e880e4a11ad1c1e20632ea0e40371f72d43b62	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
