plot	x	z	perimeter_fall	perimeter_rise	submerged	submerged_margin	reference_wet	clear_to
forge_charcoal	180	-88	0	4	0	0	false	13
forge_charcoal	184	-88	0	4	0	0	false	13
forge_charcoal	188	-88	0	4	0	0	false	13
forge_charcoal	192	-88	0	4	0	0	false	13
forge_charcoal	196	-88	0	4	0	0	false	13
forge_charcoal	200	-88	0	4	0	0	false	13
forge_charcoal	204	-88	0	4	0	0	false	13
forge_charcoal	52	-84	4	0	0	0	false	13
forge_charcoal	56	-84	4	4	0	0	false	13
forge_charcoal	60	-84	4	4	0	0	false	13
forge_charcoal	64	-84	8	8	0	0	false	13
forge_charcoal	68	-84	12	5	0	0	false	13
forge_charcoal	72	-84	12	9	0	0	false	13
forge_charcoal	76	-84	12	9	0	0	false	13
forge_charcoal	80	-84	12	13	0	0	false	13
forge_charcoal	84	-84	16	12	0	0	false	13
forge_charcoal	88	-84	16	12	0	0	false	13
forge_charcoal	92	-84	12	16	0	0	false	13
forge_charcoal	96	-84	8	16	0	0	false	13
forge_charcoal	100	-84	8	16	0	0	false	13
forge_charcoal	104	-84	8	12	0	0	false	13
forge_charcoal	108	-84	4	12	0	0	false	13
forge_charcoal	112	-84	4	8	0	0	false	13
forge_charcoal	116	-84	4	4	0	0	false	13
forge_charcoal	120	-84	4	4	0	0	false	13
forge_charcoal	124	-84	4	0	0	0	false	13
forge_charcoal	128	-84	4	0	0	0	false	13
forge_charcoal	132	-84	4	0	0	0	false	13
forge_charcoal	136	-84	4	0	0	0	false	13
forge_charcoal	140	-84	4	0	0	0	false	13
forge_charcoal	144	-84	0	4	0	0	false	13
forge_charcoal	148	-84	4	4	0	0	false	13
forge_charcoal	152	-84	4	4	0	0	false	13
forge_charcoal	156	-84	0	4	0	0	false	13
forge_charcoal	160	-84	0	4	0	0	false	13
forge_charcoal	164	-84	0	4	0	0	false	13
forge_charcoal	168	-84	0	4	0	0	false	13
forge_charcoal	172	-84	0	4	0	0	false	13
forge_charcoal	176	-84	0	4	0	0	false	13
forge_charcoal	180	-84	0	4	0	0	false	13
forge_charcoal	184	-84	4	0	0	0	false	13
forge_charcoal	188	-84	0	4	0	0	false	13
forge_charcoal	192	-84	0	4	0	0	false	13
forge_charcoal	196	-84	0	4	0	0	false	13
forge_charcoal	200	-84	0	4	0	0	false	13
forge_charcoal	204	-84	0	4	0	0	false	13
forge_charcoal	52	-80	0	4	0	0	false	13
forge_charcoal	56	-80	4	4	0	0	false	13
forge_charcoal	60	-80	4	4	0	0	false	13
forge_charcoal	64	-80	8	4	0	0	false	13
forge_charcoal	68	-80	8	6	0	0	false	13
forge_charcoal	72	-80	8	10	0	0	false	13
forge_charcoal	76	-80	12	11	0	0	false	13
forge_charcoal	80	-80	12	13	0	0	false	13
forge_charcoal	84	-80	12	12	0	0	false	13
forge_charcoal	88	-80	16	12	0	0	false	13
forge_charcoal	92	-80	12	12	0	0	false	13
forge_charcoal	96	-80	12	12	0	0	false	13
forge_charcoal	100	-80	8	12	0	0	false	13
forge_charcoal	104	-80	8	12	0	0	false	13
forge_charcoal	108	-80	8	8	0	0	false	13
forge_charcoal	112	-80	4	8	0	0	false	13
forge_charcoal	116	-80	4	8	0	0	false	13
forge_charcoal	120	-80	4	4	0	0	false	13
forge_charcoal	124	-80	4	0	0	0	false	13
forge_charcoal	128	-80	4	0	0	0	false	13
forge_charcoal	132	-80	4	0	0	0	false	13
forge_charcoal	136	-80	4	0	0	0	false	13
forge_charcoal	140	-80	4	0	0	0	false	13
forge_charcoal	144	-80	0	4	0	0	false	13
forge_charcoal	148	-80	4	4	0	0	false	13
forge_charcoal	152	-80	4	4	0	0	false	13
forge_charcoal	156	-80	4	0	0	0	false	13
forge_charcoal	160	-80	0	4	0	0	false	13
forge_charcoal	164	-80	0	4	0	0	false	13
forge_charcoal	168	-80	0	4	0	0	false	13
forge_charcoal	172	-80	0	4	0	0	false	13
forge_charcoal	176	-80	4	0	0	0	false	13
forge_charcoal	180	-80	4	0	0	0	false	13
forge_charcoal	184	-80	4	0	0	0	false	13
forge_charcoal	188	-80	4	0	0	0	false	13
forge_charcoal	192	-80	4	0	0	0	false	13
forge_charcoal	196	-80	4	0	0	0	false	13
forge_charcoal	200	-80	4	0	0	0	false	13
forge_charcoal	204	-80	4	4	0	0	false	13
forge_charcoal	52	-76	0	7	0	0	false	13
forge_charcoal	56	-76	4	5	0	0	false	13
forge_charcoal	60	-76	4	5	0	0	false	13
forge_charcoal	64	-76	8	5	0	0	false	13
forge_charcoal	68	-76	8	9	0	0	false	13
forge_charcoal	72	-76	12	9	0	0	false	13
forge_charcoal	76	-76	8	15	0	0	false	13
forge_charcoal	80	-76	12	9	0	0	false	13
forge_charcoal	84	-76	12	12	0	0	false	13
forge_charcoal	88	-76	12	12	0	0	false	13
forge_charcoal	92	-76	12	12	0	0	false	13
forge_charcoal	96	-76	12	12	0	0	false	13
forge_charcoal	100	-76	8	12	0	0	false	13
forge_charcoal	104	-76	8	8	0	0	false	13
forge_charcoal	108	-76	4	8	0	0	false	13
forge_charcoal	112	-76	8	4	0	0	false	13
forge_charcoal	116	-76	4	8	0	0	false	13
forge_charcoal	120	-76	4	4	0	0	false	13
forge_charcoal	124	-76	4	4	0	0	false	13
forge_charcoal	128	-76	4	0	0	0	false	13
forge_charcoal	132	-76	4	0	0	0	false	13
forge_charcoal	136	-76	4	0	0	0	false	13
forge_charcoal	140	-76	4	0	0	0	false	13
forge_charcoal	144	-76	4	0	0	0	false	13
forge_charcoal	148	-76	4	4	0	0	false	13
forge_charcoal	152	-76	4	4	0	0	false	13
forge_charcoal	156	-76	4	0	0	0	false	13
forge_charcoal	160	-76	4	0	0	0	false	13
forge_charcoal	164	-76	4	0	0	0	false	13
forge_charcoal	168	-76	4	0	0	0	false	13
forge_charcoal	172	-76	4	0	0	0	false	13
forge_charcoal	176	-76	4	0	0	0	false	13
forge_charcoal	180	-76	4	0	0	0	false	13
forge_charcoal	184	-76	4	0	0	0	false	13
forge_charcoal	188	-76	4	4	0	0	false	13
forge_charcoal	192	-76	4	4	0	0	false	13
forge_charcoal	196	-76	4	4	0	0	false	13
forge_charcoal	200	-76	4	4	0	0	false	13
forge_charcoal	204	-76	4	4	0	0	false	13
forge_charcoal	52	-72	1	8	0	0	false	13
forge_charcoal	56	-72	1	8	0	0	false	13
forge_charcoal	60	-72	5	8	0	0	false	13
forge_charcoal	64	-72	9	8	0	0	false	13
forge_charcoal	68	-72	10	9	0	0	false	13
forge_charcoal	72	-72	13	8	0	0	false	13
forge_charcoal	76	-72	12	11	0	0	false	13
forge_charcoal	80	-72	12	9	0	0	false	13
forge_charcoal	84	-72	12	8	0	0	false	13
forge_charcoal	88	-72	12	8	0	0	false	13
forge_charcoal	92	-72	12	8	0	0	false	13
forge_charcoal	96	-72	12	8	0	0	false	13
forge_charcoal	100	-72	12	8	0	0	false	13
forge_charcoal	104	-72	8	8	0	0	false	13
forge_charcoal	108	-72	4	8	0	0	false	13
forge_charcoal	112	-72	4	4	0	0	false	13
forge_charcoal	116	-72	0	8	0	0	false	13
forge_charcoal	120	-72	0	4	0	0	false	13
forge_charcoal	124	-72	0	4	0	0	false	13
forge_charcoal	128	-72	0	0	0	0	false	13
forge_charcoal	132	-72	0	0	0	0	false	13
forge_charcoal	136	-72	4	0	0	0	false	13
forge_charcoal	140	-72	4	0	0	0	false	13
forge_charcoal	144	-72	0	4	0	0	false	13
forge_charcoal	148	-72	4	4	0	0	false	13
forge_charcoal	152	-72	4	4	0	0	false	13
forge_charcoal	156	-72	4	4	0	0	false	13
forge_charcoal	160	-72	4	0	0	0	false	13
forge_charcoal	164	-72	4	0	0	0	false	13
forge_charcoal	168	-72	4	0	0	0	false	13
forge_charcoal	172	-72	4	0	0	0	false	13
forge_charcoal	176	-72	4	0	0	0	false	13
forge_charcoal	180	-72	4	4	0	0	false	13
forge_charcoal	184	-72	4	4	0	0	false	13
forge_charcoal	188	-72	4	4	0	0	false	13
forge_charcoal	192	-72	4	4	0	0	false	13
forge_charcoal	196	-72	4	4	0	0	false	13
forge_charcoal	200	-72	0	4	0	0	false	13
forge_charcoal	204	-72	0	4	0	0	false	13
forge_charcoal	52	-68	3	8	0	0	false	13
forge_charcoal	56	-68	3	8	0	0	false	13
forge_charcoal	60	-68	7	8	0	0	false	13
forge_charcoal	64	-68	11	8	0	0	false	13
forge_charcoal	68	-68	15	5	0	0	false	13
forge_charcoal	72	-68	13	8	0	0	false	13
forge_charcoal	76	-68	12	11	0	0	false	13
forge_charcoal	80	-68	12	9	0	0	false	13
forge_charcoal	84	-68	12	8	0	0	false	13
forge_charcoal	88	-68	12	8	0	0	false	13
forge_charcoal	92	-68	12	8	0	0	false	13
forge_charcoal	96	-68	12	8	0	0	false	13
forge_charcoal	100	-68	8	8	0	0	false	13
forge_charcoal	104	-68	8	8	0	0	false	13
forge_charcoal	108	-68	8	4	0	0	false	13
forge_charcoal	112	-68	4	4	0	0	false	13
forge_charcoal	116	-68	4	4	0	0	false	13
forge_charcoal	120	-68	0	4	0	0	false	13
forge_charcoal	124	-68	0	4	0	0	false	13
forge_charcoal	128	-68	0	0	0	0	false	13
forge_charcoal	132	-68	0	0	0	0	false	13
forge_charcoal	136	-68	4	0	0	0	false	13
forge_charcoal	140	-68	4	0	0	0	false	13
forge_charcoal	144	-68	4	0	0	0	false	13
forge_charcoal	148	-68	0	4	0	0	false	13
forge_charcoal	152	-68	4	4	0	0	false	13
forge_charcoal	156	-68	4	4	0	0	false	13
forge_charcoal	160	-68	4	0	0	0	false	13
forge_charcoal	164	-68	4	0	0	0	false	13
forge_charcoal	168	-68	4	0	0	0	false	13
forge_charcoal	172	-68	4	0	0	0	false	13
forge_charcoal	176	-68	0	4	0	0	false	13
forge_charcoal	180	-68	0	4	0	0	false	13
forge_charcoal	184	-68	0	4	0	0	false	13
