plot	x	z	perimeter_fall	perimeter_rise	submerged	submerged_margin	reference_wet	clear_to
market_granary	52	-96	2	4	0	0	false	13
market_granary	56	-96	0	4	0	0	false	13
market_granary	60	-96	0	2	0	0	false	13
market_granary	64	-96	0	2	0	0	false	13
market_granary	68	-96	0	2	0	0	false	13
market_granary	72	-96	0	2	0	0	false	13
market_granary	76	-96	2	0	0	0	false	13
market_granary	80	-96	2	2	0	0	false	13
market_granary	84	-96	2	4	0	0	false	13
market_granary	88	-96	2	4	0	0	false	13
market_granary	92	-96	2	2	0	0	false	13
market_granary	96	-96	4	2	0	0	false	13
market_granary	100	-96	2	2	0	0	false	13
market_granary	104	-96	2	2	0	0	false	13
market_granary	108	-96	2	2	0	0	false	13
market_granary	112	-96	4	0	0	0	false	13
market_granary	116	-96	2	2	0	0	false	13
market_granary	120	-96	2	2	0	0	false	13
market_granary	124	-96	0	2	0	0	false	13
market_granary	128	-96	2	0	0	0	false	13
market_granary	132	-96	2	0	0	0	false	13
market_granary	136	-96	2	0	0	0	false	13
market_granary	140	-96	2	0	0	0	false	13
market_granary	144	-96	2	2	0	0	false	13
market_granary	148	-96	2	2	0	0	false	13
market_granary	152	-96	2	0	0	0	false	13
market_granary	156	-96	2	2	0	0	false	13
market_granary	160	-96	2	2	0	0	false	13
market_granary	164	-96	4	0	0	0	false	13
market_granary	168	-96	4	2	0	0	false	13
market_granary	172	-96	4	2	0	0	false	13
market_granary	176	-96	4	2	0	0	false	13
market_granary	180	-96	4	2	0	0	false	13
market_granary	184	-96	2	4	0	0	false	13
market_granary	188	-96	2	4	0	0	false	13
market_granary	192	-96	2	2	0	0	false	13
market_granary	196	-96	2	4	0	0	false	13
market_granary	200	-96	2	6	0	9	false	13
market_granary	204	-96	2	6	11	-1	false	13
market_granary	52	-92	2	4	0	0	false	13
market_granary	56	-92	0	6	0	0	false	13
market_granary	60	-92	0	4	0	0	false	13
market_granary	64	-92	0	2	0	0	false	13
market_granary	68	-92	0	2	0	0	false	13
market_granary	72	-92	0	2	0	0	false	13
